Element,Contribution ($),Type
Dave Franco,27600000.0,Cast
David Koepp,75500000.0,Cast
David Oyelowo,23800000.0,Cast
Dax Shepard,12500000.0,Cast
Deng Chao,493080000.0,Cast
Denzel Washington,130400000.0,Cast
Dermot Mulroney,102000000.0,Cast
Diogo Morgado,45800000.0,Cast
Domhnall Gleeson,21900000.0,Cast
Douglas Smith,98600000.0,Cast
Drew Dowdle (screenplay)Perdita Weeks,0.0,Cast
Dwayne Johnson,153766666.66666666,Cast
Dylan Minnette,18400000.0,Cast
Dylan O'Brien,282800000.0,Cast
Ed Helms,73900000.0,Cast
Ed Skrein,47600000.0,Cast
Eddie Murphy,-18000000.0,Cast
Eddie Redmayne,78950000.0,Cast
Edgar Ramirez,28699999.999999985,Cast
Elizabeth Olsen,-10400000.0,Cast
Emilia Clarke,176200000.0,Cast
Emily Blunt,54900000.0,Cast
Emjay Anthony,46500000.0,Cast
Emma Stone,34200000.0,Cast
Emma Watson,15750000.0,Cast
Eric Bana,57900000.0,Cast
Ethan Hawke,48825000.0,Cast
Ewan McGregor,20200000.0,Cast
Forest Whitaker,146600000.0,Cast
Frank Grillo,95600000.0,Cast
Frank Langella,2400000.0,Cast
Geoffrey Rush,5700000.0,Cast
George Clooney,75550000.0,Cast
Gerard Butler,71666666.66666667,Cast
Greg Kinnear,89300000.0,Cast
Greta Gerwig,8300000.0,Cast
Gugu Mbatha-Raw,7600000.0,Cast
Guy Pearce,12200000.000000004,Cast
Géza Röhrig,4700000.0,Cast
Güneş Şensoy,3600000.0,Cast
Hailee Steinfeld,-12000000.0,Cast
Harrison Ford,214700000.0,Cast
Harry Styles,58500000.0,Cast
Hayden Christensen,-200000.0,Cast
Helen Mirren,45766666.666666664,Cast
Henry Cavill,158233333.33333334,Cast
Hugh Grant,68000000.0,Cast
Hugh Jackman,300475000.0,Cast
Ian McKellen,706000000.0,Cast
Ice Cube,82900000.0,Cast
Idris Elba,41100000.0,Cast
Iko Uwais,5070000.0,Cast
J. K. Simmons,45700000.0,Cast
Jack Black,220550000.0,Cast
Jack Huston,-58600000.0,Cast
Jack O'Connell,46600000.0,Cast
Jackie Chan,55000000.0,Cast
Jaden Smith,113800000.0,Cast
Jake Gyllenhaal,55250000.0,Cast
Jake Johnson,121200000.0,Cast
Jakob Salvati,-2500000.0,Cast
James Badge Dale,24400000.0,Cast
James Gandolfini,17300000.0,Cast
James McAvoy,185450000.0,Cast
James Ransone,42900000.0,Cast
Jan Bijvoet,1400000.0,Cast
Jane Levy,80500000.0,Cast
Jared Gilman,52300000.0,Cast
Jason Bateman,66300000.0,Cast
Jason Lee,144800000.0,Cast
Jason Segel,11950000.0,Cast
Jason Statham,-9500000.0,Cast
Jason Sudeikis,273900000.0,Cast
Jay Baruchel,476500000.0,Cast
Jeff Bridges,42000000.0,Cast
Jeff Goldblum,217300000.0,Cast
Jeffrey Dean Morgan,64500000.0,Cast
Jennifer Aniston,18800000.0,Cast
Jennifer Garner,60600000.0,Cast
Jennifer Lawrence,445325000.0,Cast
Jeremy Renner,108300000.0,Cast
Jesse Eisenberg,224300000.0,Cast
Jessica Alba,-25600000.0,Cast
Jessica Chastain,112100000.0,Cast
Jim Carrey,119800000.0,Cast
Jim Caviezel,15100000.0,Cast
Jim Parsons,251000000.0,Cast
Joaquin Phoenix,16400000.0,Cast
Joel Kinnaman,142700000.0,Cast
John Cusack,3700000.0,Cast
John Goodman,17100000.0,Cast
John Lloyd Young,9100000.0,Cast
Johnny Depp,33075000.0,Cast
Jon Favreau,35000000.0,Cast
Jonah Hill,74600000.0,Cast
Jonathan Sadowski,36200000.0,Cast
Jonny Weston,21200000.000000004,Cast
Jorma Taccone,-10500000.0,Cast
Joseph Fiennes,26100000.0,Cast
Joseph Gordon-Levitt,46550000.0,Cast
Josh Brolin,0.0,Cast
Josh Holloway,-3500000.0,Cast
Josh Stewart,-1100000.0,Cast
Josh Wiggins,24000000.0,Cast
Judi Dench,101400000.0,Cast
Julia Dietze,600000.0,Cast
Julia Roberts,12700000.000000004,Cast
Julianne Hough,-15600000.0,Cast
Julianne Moore,-2300000.0,Cast
Juliet Stevenson,600000.0,Cast
Justin Fletcher,81000000.0,Cast
Kate Winslet,3400000.0,Cast
Katherine Heigl,-3100000.0,Cast
Kathleen Robertson,500000.0,Cast
Kathryn Hahn,93500000.0,Cast
Kathryn Newton,137800000.0,Cast
Katie Featherston,68100000.0,Cast
Keanu Reeves,66000000.0,Cast
Keegan-Michael Key,5700000.0,Cast
Kellan Lutz,-8700000.0,Cast
Keri Russell,22900000.0,Cast
Kevin Bacon,6900000.0,Cast
Kevin Conroy,900000.0,Cast
Kevin Costner,4300000.0,Cast
Kevin Hart,70450000.0,Cast
Kevin James,49350000.0,Cast
Kevin Spacey,-10900000.0,Cast
Kit Harington,37800000.0,Cast
Kodi Smit-McPhee,47100000.0,Cast
Kristen Bell,-2500000.0,Cast
Kristen Stewart,709700000.0,Cast
Lauren Cohan,54200000.0,Cast
Leonardo DiCaprio,322000000.0,Cast
Li Bingbing,34470000.0,Cast
Liam Neeson,119820000.0,Cast
Lily Collins,64300000.0,Cast
Lily James,-11600000.000000002,Cast
Logan Lerman,112200000.0,Cast
Louis C.K.,649900000.0,Cast
Luke Evans,72600000.0,Cast
Mae Whitman,35000000.0,Cast
Maggie Smith,35400000.0,Cast
Mark Ruffalo,149600000.0,Cast
Mark Wahlberg,209833333.33333334,Cast
Marlon Wayans,38800000.0,Cast
Mary Elizabeth Winstead,93300000.0,Cast
Matt Damon,228575000.0,Cast
Matthew McConaughey,167966666.66666666,Cast
Megan Fox,237900000.0,Cast
Melissa Joan Hart,18500000.0,Cast
Melissa McCarthy,93575000.0,Cast
Meryl Streep,40100000.0,Cast
Mia Wasikowska,19700000.0,Cast
Michael B. Jordan,133600000.0,Cast
Michael Fassbender,4400000.0,Cast
Michael Parks,-1100000.0,Cast
Michael Peña,-3300000.0,Cast
Michael Shannon,-11800000.0,Cast
Mila Kunis,104200000.0,Cast
Miles Teller,47700000.0,Cast
Milla Jovovich,175200000.0,Cast
Morgan Land (screenplay),-5600000.0,Cast
Naomi Watts,135300000.0,Cast
Nat Wolff,73500000.0,Cast
Natalie Dormer,27600000.0,Cast
Natalie Portman,-22000000.0,Cast
Neil Patrick Harris,242500000.0,Cast
Nia Vardalos,70900000.0,Cast
Nicholas Hoult,82000000.0,Cast
Nicolas Cage,179800000.0,Cast
Nicole Kidman,-6900000.0,Cast
Noah Baumbach(screenplay); Ben Stiller,601900000.0,Cast
Noomi Rapace,273400000.0,Cast
O'Shea Jackson,151600000.0,Cast
Olivia Wilde,35100000.0,Cast
Oscar Isaac,-8000000.0,Cast
Owen Wilson,49400000.0,Cast
Patrick Wilson,244800000.0,Cast
Paul Giamatti,-7200000.0,Cast
Paul Rudd,189300000.0,Cast
Paul Tibbitt (director),249400000.0,Cast
Paul Walker,46000000.0,Cast
Philip Seymour Hoffman,8750000.0,Cast
Phoebe Fox,33900000.0,Cast
Pierce Brosnan,19800000.0,Cast
Quvenzhané Wallis,44450000.00000001,Cast
Ralph Fiennes,151800000.0,Cast
Ray Liotta,-13200000.0,Cast
Ray Romano,522650000.0,Cast
Reese Witherspoon,27100000.0,Cast
Regina Casé,2200000.0,Cast
Religious Bale,105300000.00000001,Cast
Richard Armitage,111700000.0,Cast
Richard Jenkins,36500000.0,Cast
Robert De Niro,99500000.0,Cast
Robert Downey,34400000.0,Cast
Robert Redford,11900000.0,Cast
Rodrigo Santoro,227600000.0,Cast
Rooney Mara,36700000.0,Cast
Rupert Friend,47300000.0,Cast
Russell Crowe,118950000.0,Cast
Ryan Gosling,31100000.0,Cast
Ryan Guzman,41200000.0,Cast
Ryan Reynolds,208250000.0,Cast
Sacha Baron Cohen,114400000.0,Cast
Sam Rockwell,60400000.0,Cast
Sam Worthington,79750000.0,Cast
Samuel L. Jackson,111800000.0,Cast
Sanaa Lathan,42300000.0,Cast
Sandra Bullock,83750000.0,Cast
Saoirse Ronan,37200000.0,Cast
Sarah Drew,5500000.0,Cast
Scarlett Johansson,423400000.0,Cast
Sean Astin,1400000.0,Cast
Sean Penn,-15800000.0,Cast
Sergei Bodrov (director) Ben Barnes,19200000.0,Cast
Seth Rogen,96725000.0,Cast
Shaheizy Sam,14900000.0,Cast
Shailene Woodley,188650000.0,Cast
Sharlto Copley,53100000.0,Cast
Sharni Vinson,25800000.0,Cast
Shelley Hennig,63099999.99999999,Cast
Sigurður Sigurjónsson,-10000.0,Cast
Simon Pegg,26100000.0,Cast
Stephan James,18500000.0,Cast
Steve Carell,296066666.6666667,Cast
